Sex at Birth,Gender Identity,Age,Marital Status,Sexual Orientation,Nationality,Country of Residence,State/Province,City,Rural or Urban,Type of Residence,Length of Residence,Level of Education,Student Status,Field of Study,Occupational Area,Annual Income Level,Employment Status,Home Ownership,Ethnicity,Language(s) Spoken,Religion,Cultural Practices,Immigration Status,Hobbies and Interests,Shopping Motivations,Shopping Habits,Shopping Channels,Shopping Frequency,Dietary Preferences,Physical Activity Levels,Social Media Usage,Travel Habits,Alcohol Use,Tobacco and Vape Use,Technology Usage,Family Structure,Household Size,Number of Children,Pet Ownership,Number of Pets,Relationship Status,Caregiving Responsibilities,General Health Status,Disabilities or Chronic Illnesses,Mental Health Status,Health Insurance Status,Access to Healthcare,Political Affiliation,Voting Behavior,Political Engagement,At what price in GBP would you consider the product to be so expensive that you would not consider buying it?,At what price in GBP would you consider the product to be priced so low that you would feel the quality couldn’t be very good?,"At what price in GBP would you consider the product starting to get expensive, so that it is not out of the question, but you would have to give some thought to buying it?",At what price in GBP would you consider the product to be a bargain? 
Male,Male,25,Single,Heterosexual,British,United Kingdom,Greater London,London,Urban,Apartment,2 years,Master,Part-time student,Computer Science,Technology,£35000,Employed,Renting,Caucasian,English,Atheist,None,Citizen,"Video games, Cycling, Reading tech articles","Convenience, Quality, Technology","Sensitive to technology trends, Prefers quality over quantity",Primary online,Monthly,Omnivore,Moderately active,Daily,"Annual international travel, Weekend domestic trips",Socially,None,"High, both for work and leisure","Single, no kids",1,0,No,0,Single,None,Good,None,"Generally good, occasional stress",Covered through employment,Easily accessible,Progressive,Always votes,Moderately informed and engaged,£1500,£300,£900,£700
Female,Female,25,Single,Heterosexual,British,United Kingdom,Greater London,London,Urban,Apartment,2 years,Master,No,Marketing,Digital Marketing,"£35,000",Full-time,Renting,Caucasian,English,Atheist,None,Citizen,"Blogging, yoga, reading","Quality, convenience, sustainability","Monthly budget planner, sale hunter",Primary online,Monthly,Pescatarian,Moderate (3 times a week),High,International travel once a year,Socially,None,High (multiple devices),Oldest sibling,2 (Flatmate),None,No,0,Single,None,Good,None,"Generally well, occasional anxiety",Private,Good,Liberal,Votes consistently in major elections,Moderately interested,1000,200,700,600
Female,Female,26,Single,Heterosexual,British,United Kingdom,Greater London,London,Urban,Apartment,2 years,Master,Part-time,Business Administration,Marketing,35000£,Employed,Rented,Caucasian,English,Agnostic,Normalization of Remote Work,Citizen,"Reading, Yoga, Digital art","Convenience, Quality","Budget-conscious, Prefers local products",Primary online,Weekly,Vegetarian,Moderate,Daily,"Prefers regional destinations, 2-3 times a year",Socially,None,High,Middle Child,2,0,Yes,1 Cat,In a relationship,None,Good,None,Stable,Through employer,Easily accessible,Liberal,Votes in major elections,Moderately active online,800,200,500,300
Female,Female,25,Single,Heterosexual,British,United Kingdom,Greater London,London,Urban,Apartment,2 years,Master,Not a student,Business Administration,Marketing,35000£,Full-time,Renting,White British,English,Agnostic,None,Citizen,"Travel, reading, yoga","Convenience, quality",Socially conscious brands,Primary online,Monthly,Vegetarian,Moderate,Daily,"2 domestic trips/year, 1 international trip/year",Socially,Non-user,Highly engaged,Single by choice,1,None,No,0,Single,None,Good,None,Stable,Covered by employer,Easy,Liberal,Always votes,"Moderately engaged (follows news, votes in major elections)",800,200,500,300
Female,Female,26,Single,Heterosexual,British,United Kingdom,England,Manchester,Urban,Apartment,2 years,Master,No,Marketing,Digital Marketing Specialist,£35000,Full-time,Renting,White British,English,Agnostic,None,Citizen,"Photography, blogging, hiking",Quality and Sustainability,Regular online shopper for both essentials and luxuries,Primary online,Weekly,Vegetarian,Moderate - exercises 3-4 times a week,"High - active on Instagram, Twitter, and Pinterest","Enjoys travelling 2-3 times a year, mostly within Europe",Social drinker,Never,High - utilizes technology for both work and leisure,Eldest child with one sibling,2,0,Yes,1 cat,In a relationship,No,Good,None,"Good, undergoing regular check-ins with a therapist",Covered through workplace health plan,Easy access to healthcare facilities and services,Liberal,Regular voter in national and local elections,"Moderately engaged, follows political news and occasionally attends local political events",700,250,500,600
Female,Female,25,Single,Heterosexual,British,United Kingdom,England,London,Urban,Apartment,2 years,Master,No,Marketing,Digital Marketing,£35000,Employed,Renting,Caucasian,English,Atheist,None,Citizen,"Reading, Traveling, Photography","Quality, Eco-friendliness",Avoids impulsive buys; plans purchases,Primary online,Monthly,Vegetarian,Moderate (3 days a week),"Daily, primarily Instagram and Twitter",International travel 2-3 times a year,Social drinking,None,"High (Smartphone, Laptop, Smart TV)","Oldest child, two younger siblings",Shared apartment with 2 flatmates,None,Yes,1 (cat),Single,None,Good,None,Stable,Private insurance,Good,Liberal,Always votes,"Moderately engaged (follows news, attends rallies)",£2000,£200,£1200,£1000
Female,Female,22 to 29,Single,Heterosexual,British,United Kingdom,England,Manchester,Urban,Apartment,1 to 3 years,Master,Part-time,Business Administration,Marketing,30000£ to 45000£,Employed,Rents,White British,English,Agnostic,Primarily British with some multicultural influences,Citizen,"Reading, traveling, and digital photography",Quality and sustainability over price,Planned and research-driven purchases,Primary online,Monthly,Primarily vegetarian with occasional fish,Moderate (exercises 3-4 times a week),"Daily, particularly platforms like Instagram and Pinterest for inspiration","2-3 international trips a year, focused on cultural experiences",Socially (1-2 times a month),None,"High (uses technology for work, leisure, and daily tasks)",Eldest of two siblings,2 (Self and a roommate),None,Yes,1 (Cat),Single,None,Good,None,Generally good with occasional stress,Covered through employment,Good (lives near accessible healthcare facilities),Liberal,Always votes in major elections,Low to moderate (stays informed but not actively involved),1000,400,700,800
Female,Female,25,Single,Heterosexual,British,United Kingdom,Greater London,London,Urban,Apartment,2 years,Master,No,Marketing,Digital Marketing,35000£,Full-time,Renting,British,English,Atheist,None,Citizen,"Yoga, Reading, Traveling","Quality, Sustainability","Weekly for essentials, monthly for clothes and electronics",Primary online,Weekly,Vegetarian,Active (4-5 times a week),High (5+ hours a day),"3-4 times a year, mostly international",Socially,Never,High,"Oldest child, 1 sibling",2 (Flatmate and self),None,No,None,Single,None,Good,None,Good,Covered by employer,Easy access,Liberal,Votes in all major elections,"Moderately (Follows news, participates in discussions)",800£,150£,500£,400£
Female,Female,25,Single,Heterosexual,Canadian,United Kingdom,Greater London,London,Urban,Apartment,1 Year,Master,No,Data Science,Information Technology,"
35000£",Full-time,Renting,Caucasian,"English, French",Agnostic,Celebrates local and Canadian holidays,Work Visa,"Yoga, reading, traveling","Quality, ethics, convenience","Moderate, purpose-driven purchases",Primary online,Monthly,Vegetarian,Moderate (2-3 times a week),Daily,Internationally 2-3 times a year,Socially,Never,High (for both personal and professional creatures),"Oldest sibling, supportive but distant relationships",2 (one roommate),0,No,0,Single,None,Good,None,"Good, with regular self-care practices in place",Private through employee benefits,"Good, no barriers reported",Moderate,Active participant in all elections accessible,Moderately engaged through knowledge and discussions,1000,200,700,500
Female,Female,22 to 29,Single,Bisexual,British,United Kingdom,England,Manchester,Urban,Apartment,2 years,Master,Part-time,Computer Science,IT,30000£ to 45000£,Employed,Rents,White,"English, Spanish",Agnostic,None,Citizen,"Coding, hiking, video gaming","Convenience, value for money",Buys quality over quantity,Primary online,Monthly,Vegetarian,Moderate,Daily,"Annual International travel, frequent domestic travel",Socially,Never,Highly engaged,Communal/Flat-share,4 persons,None,No,None,In a relationship,None,Good,None,Occasional anxiety,Private coverage,Good,Liberal,Always votes,Moderate,"""1500""","""200""","""900""","""750"""
