Age,Gender,Occupation,Income Level,Location,Current Vehicle Ownership/Usage,Are you aware of Electric Vehicles (EVs)?,How would you rate your knowledge about EVs?,What is your overall perception of EVs?,Have you considered purchasing an EV?,What is the main factor that would encourage you to purchase an EV?,What is the main factor that discourages you from purchasing an EV?,How important is the environmental impact in your vehicle purchasing decision?,How would you rate the accessibility of EV charging stations in your area?,Do you believe there is adequate infrastructure to support EV usage in your area?,Which brand do you trust the most when it comes to purchasing an EV?,How much do you trust the technology and safety of EVs?,Do you think EVs provide good value for their price?,What is the maximum amount you would be willing to pay for an EV?
25-34,Female,Employed,"$50,000 - $75,000",Urban,Own a gasoline vehicle,Yes,4,Positive,Yes,Lower operating costs,Other: None,4,4,Yes,Tesla,4,Yes,"$35,000 - $44,999"
45-54,Male,Marketing Manager,"£55,000",Urban,Own a gasoline vehicle,Yes,4,Positive,Yes,Lower operating costs,High purchase price,4,4,Yes,Tesla,4,Yes,"$45,000 - $54,999"
35-44,Male,Employed,"$80,000",Urban,Own a gasoline vehicle,Yes,4,Positive,Yes,Lower operating costs,Lack of charging infrastructure,4,4,Yes,Tesla,4,Yes,"$35,000 - $44,999"
45-54,Female,Marketing Manager,"$60,000",Urban,Own a gasoline vehicle,Yes,4,Positive,Yes,Lower operating costs,High purchase price,4,4,Yes,Tesla,4,Yes,"$45,000 - $54,999"
35-44,Male,Employed,"$75,000 - $99,999",Urban,Own a gasoline vehicle,Yes,4,Positive,Yes,Lower operating costs,High purchase price,4,4,Yes,Tesla,4,Yes,"$35,000 - $44,999"
25-34,Male,Employed,"$75,000 - $99,999",Urban,Own a gasoline vehicle,Yes,4,Positive,No,Lower operating costs,High purchase price,3,4,Yes,Tesla,4,Yes,"$35,000 - $44,999"
25-34,Female,Employed,"$50,000 - $75,000",Urban,Own a gasoline vehicle,Yes,4,Positive,Yes,Lower operating costs,High purchase price,4,4,Yes,Tesla,4,Yes,"$35,000 - $44,999"
25-34,Female,Employed,"$70,000",Urban,Own a gasoline vehicle,Yes,4,Positive,Yes,Lower operating costs,High purchase price,4,4,Yes,Tesla,4,Yes,"$35,000 - $44,999"
35-44,Male,Employed,"$80,000",Urban,Own a gasoline vehicle,Yes,4,Positive,No,Lower operating costs,High purchase price,4,4,Yes,Tesla,4,Yes,"$45,000 - $54,999"
25-34,Female,Employed,"$60,000",Urban,Own a gasoline vehicle,Yes,4,Positive,Yes,Lower operating costs,High purchase price,4,4,Yes,Tesla,5,Yes,"$35,000 - $44,999"
35-44,Male,Employed,"$75,000 - $99,999",Urban,Own a gasoline vehicle,Yes,4,Positive,Yes,Lower operating costs,High purchase price,4,3,Yes,Tesla,4,Yes,"$35,000 - $44,999"
25-34,Female,Employed,"$70,000",Urban,Own a gasoline vehicle,Yes,4,Positive,Yes,Lower operating costs,Lack of charging infrastructure,4,4,Yes,Tesla,4,Yes,"$35,000 - $44,999"
18-24,Female,Employed,"$35,000",Urban,Own a gasoline vehicle,Yes,4,Positive,Yes,Lower operating costs,High purchase price,4,4,No,Tesla,4,Yes,"$35,000 - $44,999"
25-34,Female,Employed,"$60,000",Urban,Own a gasoline vehicle,Yes,4,Positive,Yes,Lower operating costs,High purchase price,4,4,Yes,Tesla,4,Yes,"$35,000 - $44,999"
25-34,Male,Employed,"$75,000 - $99,999",Urban,Own a gasoline vehicle,Yes,3,Positive,Yes,Lower operating costs,Lack of charging infrastructure,4,4,Yes,Tesla,4,Yes,"$35,000 - $44,999"
35-44,Male,Employed,"$50,000 - $75,000",Urban,Own a gasoline vehicle,Yes,3,Positive,Yes,Lower operating costs,High purchase price,4,4,No,Tesla,4,Yes,"$35,000 - $44,999"
25-34,Female,Marketing Manager,"$75,000 - $99,999",Urban,Own a gasoline vehicle,Yes,4,Positive,Yes,Lower operating costs,Lack of charging infrastructure,4,3,Yes,Tesla,4,Yes,"$45,000 - $54,999"
45-54,Female,Accountant,"$75,000 - $99,999",Urban,Own a gasoline vehicle,Yes,4,Positive,Yes,Lower operating costs,High purchase price,4,4,Yes,Tesla,4,Yes,"$45,000 - $54,999"
35-44,Male,Employed,"$75,000 - $99,999",Urban,Own a gasoline vehicle,Yes,4,Positive,Yes,Lower operating costs,High purchase price,4,4,Yes,Tesla,4,Yes,"$35,000 - $44,999"
35-44,Female,Employed,"$70,000",Urban,Own a gasoline vehicle,Yes,4,Positive,Yes,Lower operating costs,Limited driving range,4,4,Yes,Tesla,4,Yes,"$45,000 - $54,999"
35-44,Female,Employed,"$70,000",Urban,Own a gasoline vehicle,Yes,4,Positive,Yes,Lower operating costs,High purchase price,4,3,Yes,Tesla,4,Yes,"$45,000 - $54,999"
25-34,Male,Employed,"$75,000 - $99,999",Urban,Own a gasoline vehicle,Yes,4,Positive,Yes,Lower operating costs,Limited model options,4,4,No,Tesla,4,Yes,"$35,000 - $44,999"
25-34,Female,Employed,"$70,000",Urban,Own a gasoline vehicle,Yes,4,Positive,Yes,Lower operating costs,High purchase price,4,3,No,Tesla,4,Yes,"$35,000 - $44,999"
25-34,Female,Employed,"$45,000",Urban,Own a gasoline vehicle,Yes,3,Positive,Yes,Lower operating costs,Lack of charging infrastructure,4,4,Yes,Tesla,4,Yes,"$35,000 - $44,999"
18-24,Female,Employed,"$75,000 - $99,999",Urban,Own a gasoline vehicle,Yes,4,Positive,Yes,Lower operating costs,Lack of charging infrastructure,4,4,Yes,Tesla,4,Yes,"$35,000 - $44,999"
25-34,Female,Employed,"$35,000",Urban,Own a gasoline vehicle,Yes,3,Positive,Yes,Lower operating costs,High purchase price,4,4,Yes,Tesla,4,Yes,"$35,000 - $44,999"
45-54,Female,Employed,"$60,000",Urban,Own a gasoline vehicle,Yes,3,Positive,Yes,Lower operating costs,High purchase price,4,4,Yes,Tesla,4,Yes,"$35,000 - $44,999"
25-34,Male,Employed,"$50,000 - $75,000",Urban,Own a gasoline vehicle,Yes,4,Positive,No,Lower operating costs,High purchase price,4,3,Yes,Tesla,4,Yes,"$35,000 - $44,999"
25-34,Male,Employed,"$55,000",Urban,Own a gasoline vehicle,Yes,4,Positive,Yes,Lower operating costs,High purchase price,4,3,Yes,Tesla,4,Yes,"$35,000 - $44,999"
25-34,Female,Employed,"$45,000",Urban,Own a gasoline vehicle,Yes,3,Positive,Yes,Lower operating costs,High purchase price,4,4,Yes,Tesla,4,Yes,"$45,000 - $54,999"
35-44,Male,Employed,"$75,000 - $99,999",Urban,Own a gasoline vehicle,Yes,4,Positive,Yes,Lower operating costs,High purchase price,4,4,No,Tesla,4,Yes,"$35,000 - $44,999"
25-34,Male,Employed,"$70,000",Urban,Own a gasoline vehicle,Yes,4,Positive,Yes,Lower operating costs,Lack of charging infrastructure,4,3,Yes,Tesla,4,Yes,"$35,000 - $44,999"
