Gender Identity,Age,Date of Birth,Marital Status,Sexual Orientation,Nationality,Country of Residence,State/Province,City,Rural or Urban,Type of Residence,Length of Residence,Level of Education,Field of Study,Occupation,Income Level,Social Class,Employment Status,Home Ownership,Ethnicity,Language(s) Spoken,Religion,Cultural Practices,Immigration Status,Hobbies and Interests,Shopping Preferences,Dietary Preferences,Physical Activity Levels,Social Media Usage,Travel Habits,Alcohol and Tobacco Use,Technology Usage,Family Structure,Household Size,Pet Ownership,Relationship Status,Caregiving Responsibilities,General Health Status,Disabilities or Chronic Illnesses,Mental Health Status,Health Insurance Status,Access to Healthcare,Political Affiliation,Voting Behavior,Political Engagement,Age:,Gender:,Year of study:,Department:
Female,23,1997-12-01,Single,Heterosexual,Chinese,Hong Kong,N/A,Hong Kong,Urban,Flat,23 years,Undergraduate,Business Management,Student,Low,Middle Class,Unemployed,Rent,Asian,"Cantonese, English",Buddhism,Traditional Chinese customs,Native,"Reading, Travel",Online Shopping,Non-vegetarian,Moderate,High,Domestic travel,"Occasional alcohol, no tobacco",High,Parents and one sibling,4,No pets,Single,None,Good,None,Good,Insured,Good,Neutral,Rarely votes,Low,23,Female,Other,Business Management
Female,22,01-01-1999,Single,Heterosexual,Chinese,Hong Kong,Hong Kong Island,Hong Kong,Urban,Apartment,22 years,Undergraduate/Postgraduate,Business,Student,Below Average,Middle Class,Unemployed,Renting,Asian,"Cantonese, English, Mandarin",Buddhism,Traditional Chinese,Permanent Resident,"Reading, Travelling, Cooking",Online,Non-Vegetarian,Moderate,High,Occasional Traveller,"Non-Smoker, Occasional Drinker",High,Parents and One Sibling,4,No Pets,Single,No,Good Health,None,Normal,Insured,Good,Non-political,Not Eligible to Vote,Non-participant,22,Female,Other,Business
Female,22,1998-12-12,Single,Heterosexual,Chinese,Hong Kong,N/A,Hong Kong,Urban,Flat,22 years,Undergraduate/Postgraduate,Economics,Student,No income,Middle class,Unemployed,Rented house,Asian,"Cantonese, Mandarin, English",Buddhism,Traditional Chinese culture,N/A,"Reading, Traveling, Cooking",Online shopping,No specific preference,Moderate,Frequent,Occasional travel,"Occasional alcohol, No tobacco",High,Single child family,3,No pets,Single,None,Good,None,Good,Insured,Full access,Non-affiliated,Not applicable,Low,22,Female,Other,Economics
Male,22,1999-08-15,Single,Heterosexual,Chinese,Hong Kong,,Hong Kong,Urban,Apartment,5 years,Undergraduate,Economics,Student,"0-25,000 USD",Middle Class,Full Time Student,Renting,Asian,"Cantonese, Mandarin, English",Buddhism,Traditional Chinese customs,,"Reading, Table Tennis",Online Shopping,Omnivore,Active,Daily,Once a year overseas,Non-smoker; occasional alcohol,Frequent,Single Child,3,No pets,Single,None,Healthy,None,Good,Insured,Good,Not affiliated,Not eligible to vote,Low,22,Male,Second,Economics
Male,23,1998-01-15,Single,Straight,Chinese,Hong Kong,Kowloon,Hong Kong,Urban,Apartment,5 years,Undergraduate/Postgraduate,Computer Science,Student,No personal income,Middle Class,Unemployed,Renting,East Asian,"Cantonese, English",Buddhist,Traditional Chinese,N/A,"Reading, Technology, Gaming",Online shopping,Non-Vegetarian,Moderate Exercise,Frequent,Travels once a year,"Occasional Alcohol, No Tobacco",High Usage,Two-parent family,4,No pet,Single,None,Good,No,Good,Insured,Good,Neutral,"Eligible, but doesn't vote",Low,23,Male,Other,Computer Science
Male,22,1999-07-19,Single,Heterosexual,Chinese,Hong Kong,,Hong Kong,Urban,Apartment,22 years,Undergraduate/Postgraduate,Computer Science,Student,Low,Middle Class,Unemployed,Rents,Han Chinese,"Cantonese, English",Buddhist,Traditional Chinese Practices,Native Born,"Gaming, Photography",Online Shopping,Omnivore,Moderate,Heavy,Local experiences,"Non-smoker, Occasional drinker",Heavy,Nuclear Family,4,Has no pets,Single,None,Good,None,Good,Insured,Good,Non-partisan,First time voter,Low,22,Male,Other,Computer Science
Male,24,1997-10-03,Single,Straight,Chinese,Hong Kong,New Territories,Hong Kong,Urban,Apartment,24 years,Undergraduate/Postgraduate,Information Technology,Student,Below Average,Middle Class,Part-time,Rent,Asian,"Cantonese, English",Buddhism,Traditional Chinese festivals,Citizen,"Computer Gaming, Coding",Online Shopping,Non-Vegetarian,Moderate,High,Occasional Traveller,"Non-smoker, Social Drinker",High,Parents and 1 sibling,4,No pets,Single,None,Good,None,Mentally Healthy,Insured,Good,Neutral,Regular,Low,24,Male,Fourth,Information Technology
Male,25,1996-01-01,Single,Heterosexual,Chinese,Hong Kong,Kowloon,Hong Kong,Urban,Apartment,25 years,Undergraduate,Information Technology,Student,Dependent,Middle Class,Unemployed,Living with parents,Han Chinese,Cantonese,Non-religious,Celebrates Chinese New Year,Citizen,"Video games, Hiking",Online,Non-Vegetarian,Moderate,Daily,Occasionally,"Non-smoker, drinks socially",High,"Two parents, one sibling",4,No pets,Single,None,Healthy,None,Good,Insured,Good,Non-political,Voted in last election,Low,25,Male,Other,Information Technology
Female,22,1999-08-15,Single,Heterosexual,Chinese,Hong Kong,Kowloon,Hong Kong,Urban,Apartment,22,Undergraduate/Postgraduate,Computer Science,Student,Low,Middle Class,Part-time employed,Renting,Asian,"Cantonese, English",Buddhism,Chinese traditional holidays,Citizen,"Coding, Reading, Hiking",Online Shopping,Vegetarian,Active,Frequently,Rarely travels internationally,"Non-smoker, Occasional Alcohol",High,Live with parents,3,No pets,Single,None,Good,None,Good,Covered,Have access to regular healthcare,Nonpartisan,Regular voter,Low,22,Female,Other,Computer Science
Male,23,1998-08-05,Single,Heterosexual,Chinese,Hong Kong,,Hong Kong,Urban,Apartment,2 years,Undergraduate/Postgraduate,Computer Science,Student,Low,Lower middle class,Part-time,Rent,Han Chinese,Cantonese and English,Agnostic,Traditional Chinese,Resident,"Coding, Reading, Gaming",Online shopping,Omnivorous,Moderate,Frequent,Infrequent Domestic Travel,"Non-smoker, Occasional drinker",High,Single Child,3,None,"Single, Not in a relationship",None,Good,None,Mild Anxiety,Insured,Good,Neutral,None,Low,23,Male,Third,N/A
